GeoFips,GeoName,real_income,real_expenditure,savings,personal income
01000,Alabama,50053,41618,8435,65470
02000,Alaska,58069,50003,8066,50916
04000,Arizona,50480,43239,7241,68635
05000,Arkansas,52430,42039,10391,58442
06000,California,59103,46181,12922,52618
08000,Colorado,63875,50016,13859,77036
09000,Connecticut,67254,48924,18330,75722
10000,Delaware,55709,47973,7736,82938
11000,District of Columbia,73383,65469,7914,63243
12000,Florida,54746,46837,7909,95970
13000,Georgia,50954,42629,8325,64806
15000,Hawaii,48095,42493,5602,56589
16000,Idaho,53199,40830,12369,61779
17000,Illinois,57654,46247,11407,56614
18000,Indiana,54811,43717,11094,67655
19000,Iowa,58769,44300,14469,58323
20000,Kansas,57958,44131,13827,60222
21000,Kentucky,50138,42620,7518,60424
22000,Louisiana,51925,42986,8939,51921
23000,Maine,51855,47676,4179,54501
24000,Maryland,57736,43229,14507,60599
25000,Massachusetts,66701,50585,16116,70228
26000,Michigan,52679,45641,7038,84561
27000,Minnesota,60785,46604,14181,57038
28000,Mississippi,45818,39154,6664,68840
29000,Missouri,54753,45976,8777,46370
30000,Montana,58297,49560,8737,57818
31000,Nebraska,61750,47520,14230,60984
32000,Nevada,55582,45529,10053,64268
33000,New Hampshire,59247,48696,10551,62085
34000,New Jersey,61250,47607,13643,73910
35000,New Mexico,49501,41047,8454,77199
36000,New York,60472,46909,13563,52194
37000,North Carolina,53226,43757,9469,75407
38000,North Dakota,68481,51158,17323,58109
39000,Ohio,54516,45013,9503,70360
40000,Oklahoma,54724,40816,13908,57777
41000,Oregon,50448,42179,8269,56298
42000,Pennsylvania,57849,48097,9752,62303
44000,Rhode Island,52380,43474,8906,64506
45000,South Carolina,49456,42576,6880,63557
46000,South Dakota,66857,47986,18871,53618
47000,Tennessee,54794,43446,11348,68176
48000,Texas,55382,43376,12006,58292
00000,United States,56419,45279,11140,62586
49000,Utah,54307,43957,10350,59457
50000,Vermont,53806,47516,6290,63039
51000,Virginia,58281,43921,14360,68985
53000,Washington,59175,44377,14798,75332
54000,West Virginia,48337,42931,5406,49993
55000,Wisconsin,57465,46009,11456,61475
56000,Wyoming,68772,49136,19636,73248
