2019 U.S. Granted Patents: Total Patents Originating by State (Number),,,,,,,,,,,,,,,
Series ID,Region Name,Region Code,2019 pt,2020 pt,POP-2020,RnD2011,RnD2012,RnD2013,RnD2014,RnD2015,RnD2016,RnD2017,RnD2018,RnD2019,RnD2020
PATENTUSALTOTAL,Alabama,01,628,607,5031362,2.69,2.07,2.01,2.34,2.07,2.44,2.71,2.16,2.2,2.42
PATENTUSAKTOTAL,Alaska,02,55,67,732923,0.67,0.5,0.56,0.51,0.65,0.6,2.14,0.54,0.65,0.66
PATENTUSAZTOTAL,Arizona,04,3215,3140,7179943,2.47,2.4,2.41,2.41,2.34,2.57,2.35,2.2,2.15,2.34
PATENTUSARTOTAL,Arkansas,05,601,535,3014195,0.64,0.59,0.54,0.55,0.53,0.59,0.66,0.66,0.65,0.66
PATENTUSCATOTAL,California,06,50667,50496,39501653,4.52,4.62,4.71,4.92,5.06,5.26,5.49,5.67,6.31,7.1
PATENTUSCOTOTAL,Colorado,08,3785,3740,5784865,2.57,2.33,2.31,2.19,2.09,2.08,2.04,2.06,2.47,2.59
PATENTUSCTTOTAL,Connecticut,09,3561,3478,3597362,3.75,3.6,3.78,4.14,3.82,3.53,3.66,3.16,3.11,3.44
PATENTUSDETOTAL,Delaware,10,302,358,992114,3.74,4.19,4.08,4,4.01,3.29,3.26,3.54,3.05,3.54
PATENTUSDCTOTAL,District of Columbia,11,315,339,670868,3.11,2.79,3.66,3.3,2.86,2.71,3.39,3.99,4.11,5.06
PATENTUSFLTOTAL,Florida,12,5543,5513,21589602,1.2,1.06,1.09,1.06,1.04,1.03,1,0.98,1,1.04
PATENTUSGATOTAL,Georgia,13,3308,3365,10729828,1.34,1.33,1.33,1.4,1.32,1.4,1.55,1.28,1.21,1.33
PATENTUSHITOTAL,Hawaii,15,155,161,1451043,1.08,0.94,0.88,0.83,0.75,0.66,0.64,0.7,0.69,0.94
PATENTUSIDTOTAL,Idaho,16,1056,1213,1849202,3.15,3.17,3.12,3.3,3.38,3.35,3.35,4.01,4.01,3.32
PATENTUSILTOTAL,Illinois,17,6467,6175,12786580,2.31,2.3,2.28,2.07,2.06,2.17,2.18,1.97,2.04,2.23
PATENTUSINTOTAL,Indiana,18,2736,2529,6788799,2.6,2.51,2.55,2.24,2.31,2.19,2.19,2.28,2.53,2.73
PATENTUSIATOTAL,Iowa,19,1232,1202,3190571,2.12,1.64,1.77,1.73,1.89,2.09,2.08,2.24,2.08,2.25
PATENTUSKSTOTAL,Kansas,20,913,905,2937919,1.53,1.85,1.74,1.67,1.75,1.74,1.7,1.88,1.99,2.03
PATENTUSKYTOTAL,Kentucky,21,852,869,4507445,1.1,0.96,1,0.91,0.96,0.84,0.78,0.97,0.95,0.87
PATENTUSLATOTAL,Louisiana,22,510,512,4651664,0.66,0.47,0.47,0.47,0.48,0.45,0.44,0.48,0.6,0.62
PATENTUSMETOTAL,Maine,23,249,228,1363557,1.02,0.99,1.02,1.06,0.87,0.8,0.83,0.8,0.99,1.07
PATENTUSMDTOTAL,Maryland,24,2419,2482,6173205,5.89,5.52,5.61,5.73,5.51,5.6,5.22,5.63,5.41,6.74
PATENTUSMATOTAL,Massachusetts,25,9030,8790,6995729,5.18,5.45,5.31,5.94,5.75,5.62,5.9,6.31,6.68,7.62
PATENTUSMITOTAL,Michigan,26,8307,7478,10069577,4.05,4.22,4.3,4.37,4.19,4.45,4.72,4.84,4.56,4.7
PATENTUSMNTOTAL,Minnesota,27,4931,4734,5709852,2.58,2.47,2.52,2.54,2.4,2.43,2.39,2.35,2.46,2.71
PATENTUSMSTOTAL,Mississippi,28,230,205,2958141,0.98,1.14,1.04,1.08,0.89,0.86,0.9,1.03,0.97,0.94
