State,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,2.60,2.53,2.53,2.46,2.48,2.52,2.59,2.72,2.76,2.68,2.71,2.65,2.66,2.68,2.69,2.76,2.81,2.91,3.08,3.35
Alabama,1.44,1.82,1.90,1.87,1.77,1.98,1.90,2.79,2.30,2.11,2.69,2.07,2.01,2.34,2.07,2.44,2.71,2.16,2.20,2.42
Alaska,0.73,1.04,1.00,0.77,0.66,0.65,0.63,0.49,0.60,0.67,0.67,0.50,0.56,0.51,0.65,0.60,2.14,0.54,0.65,0.66
Arizona,1.88,2.27,1.85,1.72,1.82,1.94,1.92,2.67,2.64,2.18,2.47,2.40,2.41,2.41,2.34,2.57,2.35,2.20,2.15,2.34
Arkansas,0.66,0.58,0.65,0.60,0.58,0.60,0.64,0.75,1.01,0.59,0.64,0.59,0.54,0.55,0.53,0.59,0.66,0.66,0.65,0.66
California,4.06,3.62,3.98,3.75,3.76,3.94,4.09,4.18,4.22,4.15,4.52,4.62,4.71,4.92,5.06,5.26,5.49,5.67,6.31,7.10
Colorado,2.35,2.22,2.56,2.69,2.63,2.64,2.75,2.24,2.42,2.39,2.57,2.33,2.31,2.19,2.09,2.08,2.04,2.06,2.47,2.59
Connecticut,2.95,3.91,3.66,4.03,4.38,4.12,4.36,4.74,4.91,3.18,3.75,3.60,3.78,4.14,3.82,3.53,3.66,3.16,3.11,3.44
Delaware,3.53,2.90,2.97,2.30,3.13,2.88,2.84,2.87,3.88,4.00,3.74,4.19,4.08,4.00,4.01,3.29,3.26,3.54,3.05,3.54
District of Columbia,3.76,3.87,3.63,2.97,3.94,4.27,4.12,5.98,4.18,3.36,3.11,2.79,3.66,3.30,2.86,2.71,3.39,3.99,4.11,5.06
Florida,0.95,0.99,0.88,0.84,0.88,0.84,0.91,0.85,0.97,1.07,1.20,1.06,1.09,1.06,1.04,1.03,1.00,0.98,1.00,1.04
Georgia,0.92,1.20,1.15,1.00,0.99,1.09,1.05,1.26,1.44,1.30,1.34,1.33,1.33,1.40,1.32,1.40,1.55,1.28,1.21,1.33
Hawaii,0.71,1.02,0.91,0.94,0.89,0.85,0.92,1.01,1.04,1.03,1.08,0.94,0.88,0.83,0.75,0.66,0.64,0.70,0.69,0.94
Idaho,3.77,3.54,2.99,2.27,2.12,1.81,2.07,2.45,2.89,3.21,3.15,3.17,3.12,3.30,3.38,3.35,3.35,4.01,4.01,3.32
