SAGDP1 State annual gross domestic product (GDP) summary,,,,,,,
SAGDP1 State annual gross domestic product (GDP) summary,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,gdp-2022,gdp-2023,pop-2022,pop-2023,capita2022,capita2023
00000,United States,21822037,22376906,333271411,334914895,65478.3,66813.7
01000,Alabama,235807.3,241753.1,5073903,5108468,46474.5,47324
02000,Alaska,50315.1,53006.3,733276,733406,68616.9,72274.2
04000,Arizona,403474.2,414273.3,7365684,7431344,54777.6,55746.8
05000,Arkansas,137355.5,140784.7,3046404,3067732,45087.7,45892.1
06000,California,3167460.8,3233151,39040616,38965193,81132.4,82975.4
08000,Colorado,416114.4,428040.4,5841039,5877610,71239.8,72825.6
09000,Connecticut,276668.8,282478.5,3608706,3617176,76667.0,78093.7
10000,Delaware,75172.6,74262.8,1019459,1031890,73737.7,71967.7
11000,District of Columbia,144029.6,145493.3,670949,678972,214665.5,214284.7
12000,Florida,1218430.2,1279118.8,22245521,22610726,54771.9,56571.3
13000,Georgia,655827.3,661114.6,10913150,11029227,60095.1,59942.1
15000,Hawaii,85211.4,86887.7,1439399,1435138,59199.3,60543.1
16000,Idaho,91683.7,94914.3,1938996,1964726,47284.1,48309.2
17000,Illinois,864170.9,875568.8,12582515,12549689,68680.3,69768.2
18000,Indiana,396009.2,401472.2,6832274,6862199,57961.6,58504.9
19000,Iowa,197846.3,200442.3,3199693,3207004,61832.9,62501.4
20000,Kansas,174794.6,182349.6,2936716,2940546,59520.4,62012.2
21000,Kentucky,217568.1,225234.6,4511563,4526154,48224.6,49762.9
22000,Louisiana,231262.3,238195.9,4588023,4573749,50405.7,52078.9
23000,Maine,72413.5,73780.8,1389338,1395722,52120.9,52862.1
24000,Maryland,412282.6,420996.9,6163981,6180253,66885.8,68119.7
25000,Massachusetts,604357.7,615148.4,6982740,7001399,86550.2,87860.8
26000,Michigan,539898.2,547771.8,10033281,10037261,53810.7,54573.8
27000,Minnesota,379111.5,383618.6,5714300,5737915,66344.3,66856.8
28000,Mississippi,114152.9,114949.8,2938928,2939690,38841.7,39102.7
29000,Missouri,336625.8,344115.4,6177168,6196156,54495.2,55536.9
30000,Montana,53983.4,55192.6,1122878,1132812,48075.9,48721.8
31000,Nebraska,137078.1,144182.9,1968060,1978379,69651.4,72879.3
32000,Nevada,187226.2,192215.6,3177421,3194176,58924.0,60176.9
33000,New Hampshire,90150.5,91254.7,1399003,1402054,64439.1,65086.4
34000,New Jersey,646731.3,656480.3,9260817,9290841,69835.2,70658.9
35000,New Mexico,101315,105463.3,2113476,2114371,47937.6,49879.3
36000,New York,1763524.6,1775714.1,19673200,19571216,89641.0,90730.9
37000,North Carolina,609058.2,625681.9,10695965,10835491,56942.8,57743.8
38000,North Dakota,54798.7,58014.8,778912,783926,70352.9,74005.5
39000,Ohio,689681.3,698217.3,11759697,11785935,58647.9,59241.6
40000,Oklahoma,191583,201658.8,4019271,4053824,47666.1,49745.3
41000,Oregon,254708.4,260110.8,4239379,4233358,60081.5,61443.1
42000,Pennsylvania,772335.9,789502.3,12972091,12961683,59538.3,60910.5
44000,Rhode Island,62190.9,63172.6,1093842,1095962,56855.5,57641.2
45000,South Carolina,250873.4,259930.2,5282955,5373555,47487.3,48372.1
46000,South Dakota,54959.3,56309.3,909869,919318,60403.5,61251.2
47000,Tennessee,412101.3,425409.7,7048976,7126489,58462.6,59694.1
48000,Texas,1924007.5,2032932.9,30029848,30503301,64069.8,66646.3
49000,Utah,213898.3,219180.7,3381236,3417734,63260.4,64130.4
50000,Vermont,34609.4,35073.5,647110,647464,53483.0,54170.6
51000,Virginia,576964.3,590802.2,8679099,8715698,66477.4,67786
53000,Washington,641143.6,672125.3,7784477,7812880,82361.8,86027.9
54000,West Virginia,76525.5,80135.5,1774035,1770071,43136.4,45272.5
55000,Wisconsin,335688.5,336460.6,5890543,5910955,56987.7,56921.5
56000,Wyoming,37294.2,39322,581629,584057,64120.3,67325.6
